Stock,Rows Before,Rows After,Duplicate Rows,Total Missing Values,Large Gaps (>3 days),Split Events,Dividend Events,Suspicious Returns |r|>30%
ADANIENT,275,275,0,0,6,0,1,0
ADANIPORTS,275,275,0,0,6,0,1,0
APOLLOHOSP,275,275,0,0,6,0,2,0
ASIANPAINT,275,275,0,0,6,0,2,0
AXISBANK,275,275,0,0,6,0,1,0
BAJAJ-AUTO,275,275,0,0,6,0,1,0
BAJAJFINSV,275,275,0,0,6,0,1,0
BAJFINANCE,275,275,0,0,6,1,2,0
BEL,275,275,0,0,6,0,2,0
BHARTIARTL,275,275,0,0,6,0,1,0
CIPLA,275,275,0,0,6,0,1,0
COALINDIA,275,275,0,0,6,0,4,0
DRREDDY,275,275,0,0,6,0,1,0
EICHERMOT,275,275,0,0,6,0,1,0
ETERNAL,274,274,0,0,6,0,0,0
GRASIM,275,275,0,0,6,0,1,0
HCLTECH,275,275,0,0,6,0,5,0
HDFCBANK,275,275,0,0,6,1,2,0
HDFCLIFE,275,275,0,0,6,0,1,0
HINDALCO,275,275,0,0,6,0,1,0
HINDUNILVR,275,275,0,0,6,0,2,0
ICICIBANK,275,275,0,0,6,0,1,0
INDIGO,275,275,0,0,6,0,1,0
INFY,275,275,0,0,6,0,2,0
ITC,275,275,0,0,6,0,3,0
JIOFIN,274,274,0,0,6,0,1,0
JSWSTEEL,275,275,0,0,6,0,1,0
KOTAKBANK,275,275,0,0,6,1,1,0
LT,275,275,0,0,6,0,1,0
M&M,275,275,0,0,6,0,1,0
MARUTI,275,275,0,0,6,0,1,0
MAXHEALTH,275,275,0,0,6,0,1,0
NESTLEIND,275,275,0,0,6,1,3,0
NTPC,275,275,0,0,6,0,4,0
ONGC,275,275,0,0,6,0,3,0
POWERGRID,275,275,0,0,6,0,3,0
RELIANCE,275,275,0,0,6,0,1,0
SBILIFE,275,275,0,0,6,0,1,0
SBIN,275,275,0,0,6,0,1,0
SHRIRAMFIN,275,275,0,0,6,1,3,0
SUNPHARMA,275,275,0,0,6,0,3,0
TATACONSUM,275,275,0,0,6,0,1,0
TATASTEEL,275,275,0,0,6,0,1,0
TCS,275,275,0,0,6,0,5,0
TECHM,275,275,0,0,6,0,2,0
TITAN,275,275,0,0,6,0,1,0
TMPV,78,78,0,0,1,0,0,0
TRENT,275,275,0,0,6,0,1,0
ULTRACEMCO,275,275,0,0,6,0,1,0
WIPRO,275,275,0,0,6,0,3,0
